Date : 2023-02-20 01:02:03
Directory : c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com
Total : 221 files,  27425 codes, 2993 comments, 5749 blanks, all 36167 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JavaScript      |         37 |     16,508 |      2,460 |      3,787 |     22,755 |
| CSS             |         10 |      4,572 |        332 |        370 |      5,274 |
| Java            |        102 |      3,660 |        143 |      1,305 |      5,108 |
| HTML            |         61 |      1,917 |          0 |        193 |      2,110 |
| Markdown        |          4 |        310 |          0 |         26 |        336 |
| CSV             |          2 |        218 |          0 |          0 |        218 |
| XML             |          1 |        146 |          3 |         26 |        175 |
| Batch           |          1 |         67 |         45 |         32 |        144 |
| Java Properties |          2 |         26 |         10 |         10 |         46 |
| JSON            |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        221 |     27,425 |      2,993 |      5,749 |     36,167 |
| . (Files)                                                                                                                                               |          2 |        213 |         48 |         58 |        319 |
| .VSCodeCounter                                                                                                                                          |          7 |        529 |          0 |         26 |        555 |
| .VSCodeCounter\2023-02-20_00-46-37                                                                                                                      |          7 |        529 |          0 |         26 |        555 |
| .mvn                                                                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| .mvn\wrapper                                                                                                                                            |          1 |          1 |          0 |          1 |          2 |
| src                                                                                                                                                     |        211 |     26,682 |      2,945 |      5,664 |     35,291 |
| src\main                                                                                                                                                |        210 |     26,670 |      2,945 |      5,659 |     35,274 |
| src\main\java                                                                                                                                           |        101 |      3,648 |        143 |      1,300 |      5,091 |
| src\main\java\com                                                                                                                                       |        101 |      3,648 |        143 |      1,300 |      5,091 |
| src\main\java\com\magma                                                                                                                                 |        101 |      3,648 |        143 |      1,300 |      5,091 |
| src\main\java\com\magma\quantum                                                                                                                         |        101 |      3,648 |        143 |      1,300 |      5,091 |
| src\main\java\com\magma\quantum\politicone                                                                                                              |        101 |      3,648 |        143 |      1,300 |      5,091 |
| src\main\java\com\magma\quantum\politicone (Files)                                                                                                      |          1 |         11 |          0 |          5 |         16 |
| src\main\java\com\magma\quantum\politicone\config                                                                                                       |          1 |         20 |          0 |          6 |         26 |
| src\main\java\com\magma\quantum\politicone\controllers                                                                                                  |         18 |      1,161 |          0 |        367 |      1,528 |
| src\main\java\com\magma\quantum\politicone\dto                                                                                                          |          2 |         80 |         33 |         12 |        125 |
| src\main\java\com\magma\quantum\politicone\entities                                                                                                     |         19 |      1,284 |         36 |        271 |      1,591 |
| src\main\java\com\magma\quantum\politicone\repos                                                                                                        |         18 |        123 |          0 |         92 |        215 |
| src\main\java\com\magma\quantum\politicone\security                                                                                                     |          2 |         42 |         74 |          8 |        124 |
| src\main\java\com\magma\quantum\politicone\security\config                                                                                              |          2 |         42 |         74 |          8 |        124 |
| src\main\java\com\magma\quantum\politicone\service                                                                                                      |         39 |        900 |          0 |        528 |      1,428 |
| src\main\java\com\magma\quantum\politicone\util                                                                                                         |          1 |         27 |          0 |         11 |         38 |
| src\main\resources                                                                                                                                      |         48 |     21,105 |      2,802 |      4,166 |     28,073 |
| src\main\resources (Files)                                                                                                                              |          1 |         25 |         10 |          9 |         44 |
| src\main\resources\static                                                                                                                               |         47 |     21,080 |      2,792 |      4,157 |     28,029 |
| src\main\resources\static\css                                                                                                                           |          9 |      3,912 |        311 |        308 |      4,531 |
| src\main\resources\static\js                                                                                                                            |         38 |     17,168 |      2,481 |      3,849 |     23,498 |
| src\main\resources\static\js (Files)                                                                                                                    |         13 |     15,552 |      2,205 |      3,440 |     21,197 |
| src\main\resources\static\js\lib                                                                                                                        |         25 |      1,616 |        276 |        409 |      2,301 |
| src\main\resources\static\js\lib (Files)                                                                                                                |          5 |      1,592 |         50 |        409 |      2,051 |
| src\main\resources\static\js\lib\greensock                                                                                                              |         20 |         24 |        226 |          0 |        250 |
| src\main\resources\static\js\lib\greensock (Files)                                                                                                      |          5 |          8 |         59 |          0 |         67 |
| src\main\resources\static\js\lib\greensock\easing                                                                                                       |          1 |          1 |         11 |          0 |         12 |
| src\main\resources\static\js\lib\greensock\plugins                                                                                                      |         13 |         14 |        143 |          0 |        157 |
| src\main\resources\static\js\lib\greensock\utils                                                                                                        |          1 |          1 |         13 |          0 |         14 |
| src\main\webapp                                                                                                                                         |         61 |      1,917 |          0 |        193 |      2,110 |
| src\main\webapp (Files)                                                                                                                                 |          2 |         26 |          0 |         12 |         38 |
| src\main\webapp\WEB-INF                                                                                                                                 |         59 |      1,891 |          0 |        181 |      2,072 |
| src\main\webapp\WEB-INF\jsps                                                                                                                            |         59 |      1,891 |          0 |        181 |      2,072 |
| src\main\webapp\WEB-INF\jsps (Files)                                                                                                                    |         54 |      1,666 |          0 |        143 |      1,809 |
| src\main\webapp\WEB-INF\jsps\fragments                                                                                                                  |          3 |        183 |          0 |         37 |        220 |
| src\main\webapp\WEB-INF\jsps\login                                                                                                                      |          2 |         42 |          0 |          1 |         43 |
| src\test                                                                                                                                                |          1 |         12 |          0 |          5 |         17 |
| src\test\java                                                                                                                                           |          1 |         12 |          0 |          5 |         17 |
| src\test\java\com                                                                                                                                       |          1 |         12 |          0 |          5 |         17 |
| src\test\java\com\magma                                                                                                                                 |          1 |         12 |          0 |          5 |         17 |
| src\test\java\com\magma\quantum                                                                                                                         |          1 |         12 |          0 |          5 |         17 |
| src\test\java\com\magma\quantum\politicone                                                                                                              |          1 |         12 |          0 |          5 |         17 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\details.md                                       | Markdown        |        223 |          0 |          6 |        229 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\diff-details.md                                  | Markdown        |          9 |          0 |          6 |         15 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\diff.csv                                         | CSV             |          2 |          0 |          0 |          2 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\diff.md                                          | Markdown        |         12 |          0 |          7 |         19 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\results.csv                                      | CSV             |        216 |          0 |          0 |        216 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\results.json                                     | JSON            |          1 |          0 |          0 |          1 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.VSCodeCounter\2023-02-20_00-46-37\results.md                                       | Markdown        |         66 |          0 |          7 |         73 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\.mvn\wrapper\maven-wrapper.properties                                               | Java Properties |          1 |          0 |          1 |          2 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\mvnw.cmd                                                                            | Batch           |         67 |         45 |         32 |        144 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\pom.xml                                                                             | XML             |        146 |          3 |         26 |        175 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\PoliticoneApplication.java               | Java            |         11 |          0 |          5 |         16 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\config\SwaggerConfig.java                | Java            |         20 |          0 |          6 |         26 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CelluleController.java       | Java            |         65 |          0 |         21 |         86 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CommissionController.java    | Java            |         65 |          0 |         20 |         85 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CommuneArrondController.java | Java            |         65 |          0 |         21 |         86 |
| c:\Users\mmduk\OneDrive\Documents\advanced-workspace\politicone.com\src\main\java\com\magma\quantum\politicone\controllers\CommuneController.java       | Java            |         65 |          0 |         21 |         86 |
